27.6,-46.1846,22.5739
27.7,-46.3103,22.6338
27.8,-46.4358,22.6942
27.9,-46.5615,22.7537
28,-46.6853,22.8162
28.1,-46.8082,22.8798
28.2,-46.9312,22.9437
28.3,-47.0547,23.0071
28.4,-47.1782,23.0706
28.5,-47.302,23.1336
28.6,-47.4258,23.1968
28.7,-47.5492,23.2602
28.8,-47.6721,23.3237
28.9,-47.7958,23.3879
29,-47.917,23.4477
29.1,-48.0343,23.5055
29.2,-48.1514,23.5672
29.3,-48.2691,23.6278
29.4,-48.3876,23.6857
29.5,-48.5062,23.7427
29.6,-48.6244,23.7987
29.7,-48.7418,23.8553
29.8,-48.859,23.9114
29.9,-48.976,23.9671
30,-49.093,24.0225
